Keyword,Weight,Type
加利福尼亚州,11,High_DF
本站,11,High_DF
智能,11,High_DF
文章,10,High_DF
材料,10,High_DF
媒体,10,High_DF
动力,10,High_DF
消息,10,High_DF
风电场,10,High_DF
页岩,10,High_DF
墨西哥,10,High_DF
调查,10,High_DF
重点,10,High_DF
网站,10,High_DF
管理局,10,High_DF
方案,10,High_DF
产量,10,High_DF
制造业,10,High_DF
评估,10,High_DF
充电站,10,High_DF
信息,10,High_DF
会议,10,High_DF
核电,9,High_DF
谈判,9,High_DF
管道,9,High_DF
发电场,9,High_DF
领导人,9,High_DF
汽油,9,High_DF
分析,9,High_DF
用户,9,High_DF
供应链,9,High_DF
融资,9,High_DF
交通,9,High_DF
普鲁,9,High_DF
风车,9,High_DF
官员,9,High_DF
决议,9,High_DF
汇通,9,High_DF
规则,9,High_DF
贷款,9,High_DF
业务,9,High_DF
人民币,9,High_DF
电站,9,High_DF
供应,9,High_DF
行政,9,High_DF
革命,9,High_DF
危机,9,High_DF
环球网,9,High_DF
能源部,8,High_DF
行情,8,High_DF
新车,8,High_DF
参议院,8,High_DF
优势,8,High_DF
公众,8,High_DF
福克斯,8,High_DF
观点,8,High_DF
服务,8,High_DF
版权,8,High_DF
马斯克,8,High_DF
候选人,8,High_DF
体系,8,High_DF
竞争,8,High_DF
鸟类,8,High_DF
屋顶,8,High_DF
大西洋,8,High_DF
能源技术,8,High_DF
水平,8,High_DF
新浪网,8,High_DF
规模,8,High_DF
纽约州,8,High_DF
领导,8,High_DF
煤炭行业,8,High_DF
活动,8,High_DF
法律,8,High_DF
哈兰德,8,High_DF
内政部,8,High_DF
标普,8,High_DF
加拿大,8,High_DF
配额,8,High_DF
主题,8,High_DF
涨幅,7,High_DF
重新加入,7,High_DF
病毒,7,High_DF
共和党人,7,High_DF
评论,7,High_DF
团队,7,High_DF
港口,7,High_DF
美国白宫,7,High_DF
车辆,7,High_DF
移民,7,High_DF
空气,7,High_DF
数据中心,7,High_DF
州政府,7,High_DF
两国,7,High_DF
图片,7,High_DF
彭博,7,High_DF
福岛,7,High_DF
马萨诸塞州,7,High_DF
线路,7,High_DF
路透社,7,High_DF
声称,7,High_DF
办公室,7,High_DF
顾问,7,High_DF
命令,7,High_DF
范围,7,High_DF
数字,7,High_DF
苹果,7,High_DF
普京,7,High_DF
层面,7,High_DF
股价,7,High_DF
警告,7,High_DF
投资者,7,High_DF
诉讼,7,High_DF
综合,7,High_DF
讲话,6,High_DF
供应商,6,High_DF
住房,6,High_DF
甲烷,6,High_DF
领袖,6,High_DF
时期,6,High_DF
能效,6,High_DF
声明,6,High_DF
草案,6,High_DF
葡萄园,6,High_DF
生物质能,6,High_DF
岗位,6,High_DF
失业,6,High_DF
行政命令,6,High_DF
骗局,6,High_DF
风机,6,High_DF
员工,6,High_DF
经济学,6,High_DF
纽约时报,6,High_DF
伊朗,6,High_DF
机会,6,High_DF
专家,6,High_DF
立场,6,High_DF
极端,6,High_DF
议程,6,High_DF
川普,6,High_DF
收益,6,High_DF
作者,6,High_DF
设施,6,High_DF
机制,6,High_DF
民主党人,6,High_DF
航空,6,High_DF
产业链,6,High_DF
澳大利亚,6,High_DF
氢气,6,High_DF
检察长,6,High_DF
人士,6,High_DF
法院,6,High_DF
能力,6,High_DF
资助,6,High_DF
森林,6,High_DF
电能,6,High_DF
预期,6,High_DF
科罗拉多州,6,High_DF
能源行业,6,High_DF
生态,6,High_DF
制裁,6,High_DF
低收入,6,High_DF
核心,5,High_DF
威胁,5,High_DF
车队,5,High_DF
农村,5,High_DF
财年,5,High_DF
经费,5,High_DF
关系,5,High_DF
伯格,5,High_DF
预测,5,High_DF
曼钦,5,High_DF
肺炎,5,High_DF
减产,5,High_DF
摄氏度,5,High_DF
普鲁特,5,High_DF
设计,5,High_DF
亚洲,5,High_DF
卡车,5,High_DF
汇金,5,High_DF
工业化,5,High_DF
美国市场,5,High_DF
加仑,5,High_DF
柴油,5,High_DF
电力部门,5,High_DF
龙头,5,High_DF
议员,5,High_DF
众议院,5,High_DF
盟友,5,High_DF
模式,5,High_DF
框架,5,High_DF
美国国会,5,High_DF
中美关系,5,High_DF
客户端,5,High_DF
变化,5,High_DF
关键,5,High_DF
太空,5,High_DF
反应堆,5,High_DF
霍姆,5,High_DF
援助,5,High_DF
腾讯,5,High_DF
华盛顿,5,High_DF
优先,5,High_DF
局长,5,High_DF
概念,5,High_DF
芯片,5,High_DF
中东,5,High_DF
压力,5,High_DF
运营,5,High_DF
花费,5,High_DF
权力,5,High_DF
脱碳,5,High_DF
启动,5,High_DF
汽车行业,5,High_DF
智通,5,High_DF
金融,5,High_DF
厂商,5,High_DF
工程,5,High_DF
实验室,5,High_DF
检测,5,High_DF
液化,5,High_DF
选民,5,High_DF
发电量,5,High_DF
议定书,5,High_DF
京都,5,High_DF
布朗,5,High_DF
俄欧,5,High_DF
价值,5,High_DF
趋势,5,High_DF
设备,5,High_DF
吉瓦,5,High_DF
前瞻,5,High_DF
面板,5,High_DF
能源经济,5,High_DF
欧美,5,High_DF
库存,5,High_DF
信心,5,High_DF
麦卡锡,5,High_DF
农业,5,High_DF
